,customer_id,value
0,C00001,129.18195637260067
1,C00002,129.18195637260067
2,C00003,129.18195637260067
3,C00004,129.18195637260067
4,C00005,129.18195637260067
5,C00006,140.2676984545331
6,C00007,129.18195637260067
7,C00008,129.18195637260067
8,C00009,129.18195637260067
9,C00010,129.18195637260067
10,C00011,129.18195637260067
11,C00012,129.18195637260067
12,C00013,129.18195637260067
13,C00014,129.18195637260067
14,C00015,129.18195637260067
15,C00016,129.18195637260067
16,C00017,129.18195637260067
17,C00019,129.18195637260067
18,C00020,129.18195637260067
19,C00021,129.18195637260067
20,C00022,129.18195637260067
21,C00023,129.18195637260067
22,C00024,129.18195637260067
23,C00025,129.18195637260067
24,C00026,129.18195637260067
25,C00027,129.18195637260067
26,C00028,129.18195637260067
27,C00029,129.18195637260067
28,C00030,129.18195637260067
29,C00031,129.18195637260067
30,C00032,129.18195637260067
31,C00033,129.18195637260067
32,C00034,129.18195637260067
33,C00035,129.18195637260067
34,C00036,129.18195637260067
35,C00037,129.18195637260067
36,C00038,129.18195637260067
37,C00039,129.18195637260067
38,C00040,129.18195637260067
39,C00041,79.31935682433613
40,C00042,129.18195637260067
41,C00043,129.18195637260067
42,C00044,201.92081636050438
43,C00045,129.18195637260067
44,C00046,129.18195637260067
45,C00047,129.18195637260067
46,C00048,129.18195637260067
47,C00049,129.18195637260067
48,C00050,129.18195637260067
49,C00051,129.18195637260067
50,C00052,129.18195637260067
51,C00053,129.18195637260067
52,C00054,129.18195637260067
53,C00055,129.18195637260067
54,C00056,129.18195637260067
55,C00057,129.18195637260067
56,C00058,129.18195637260067
57,C00059,129.18195637260067
58,C00060,129.18195637260067
59,C00061,129.18195637260067
60,C00062,129.18195637260067
61,C00063,129.18195637260067
62,C00064,129.18195637260067
63,C00065,129.18195637260067
64,C00066,129.18195637260067
65,C00067,129.18195637260067
66,C00068,129.18195637260067
67,C00069,129.18195637260067
68,C00070,129.18195637260067
69,C00071,129.18195637260067
70,C00072,129.18195637260067
71,C00073,129.18195637260067
72,C00074,129.18195637260067
73,C00075,129.18195637260067
74,C00076,129.18195637260067
75,C00077,129.18195637260067
76,C00078,129.18195637260067
77,C00079,129.18195637260067
78,C00080,129.18195637260067
79,C00081,129.18195637260067
80,C00082,129.18195637260067
81,C00083,129.18195637260067
82,C00084,129.18195637260067
83,C00085,129.18195637260067
84,C00086,129.18195637260067
85,C00087,129.18195637260067
86,C00088,129.18195637260067
87,C00089,129.18195637260067
88,C00090,129.18195637260067
89,C00091,129.18195637260067
90,C00092,129.18195637260067
91,C00093,129.18195637260067
92,C00094,129.18195637260067
93,C00095,129.18195637260067
94,C00096,129.18195637260067
95,C00097,129.18195637260067
96,C00098,129.18195637260067
97,C00099,129.18195637260067
98,C00100,129.18195637260067
99,C00101,129.18195637260067
100,C00102,129.18195637260067
101,C00103,129.18195637260067
102,C00104,129.18195637260067
103,C00105,129.18195637260067
104,C00106,129.18195637260067
105,C00107,129.18195637260067
106,C00108,129.18195637260067
107,C00109,129.18195637260067
108,C00110,129.18195637260067
109,C00111,70.43562225575235
110,C00112,129.18195637260067
111,C00113,129.18195637260067
112,C00114,129.18195637260067
113,C00115,129.18195637260067
114,C00116,129.18195637260067
115,C00117,129.18195637260067
116,C00118,200.4342714426947
117,C00119,129.18195637260067
118,C00120,129.18195637260067
119,C00121,129.18195637260067
120,C00122,129.18195637260067
121,C00123,129.18195637260067
122,C00124,129.18195637260067
123,C00125,129.18195637260067
124,C00126,129.18195637260067
125,C00127,129.18195637260067
126,C00128,129.18195637260067
127,C00129,129.18195637260067
128,C00130,129.18195637260067
129,C00131,129.18195637260067
130,C00132,129.18195637260067
131,C00133,129.18195637260067
132,C00134,129.18195637260067
133,C00135,129.18195637260067
134,C00136,129.18195637260067
135,C00137,129.18195637260067
136,C00138,129.18195637260067
137,C00139,129.18195637260067
138,C00140,129.18195637260067
139,C00141,129.18195637260067
