customer_id,value
C00006,140.2676985
C00044,201.9208164
C00118,200.4342714
C00265,141.4995763
C00274,191.8525838
C00634,147.3746861
C00734,401.2125952
C00767,133.7470373
C00875,159.2196655
C00901,143.8804172
C00903,211.929824
C01012,182.9096244
C01096,148.6184089
C01136,236.5014029
C01257,135.5830091
C01283,241.281057
C01565,194.2156572
C01581,200.1440694
C01843,244.5627423
C02013,223.1233295
C02305,147.6945006
C02390,852.2042643
C02462,153.3504782
C02540,145.0649151
C02716,212.5812978
C02724,159.2788904
C02844,137.8394777
C02945,194.1623548
C02985,170.5316209
C03223,171.0054201
C03231,251.610505
C03267,146.2494131
C03280,147.3746861
C03974,133.1607108
C04061,129.607217
C04103,279.5034113
C04307,169.8209221
C04326,132.6099193
C04328,132.5684618
C04508,160.4633884
C04512,206.5995832
C04723,209.9280225
C04810,198.7345169
C04815,185.3378452
C04871,295.4369289
C04910,168.6364242
C04969,140.9191723
C05497,141.3929715
C05635,216.6618933
C05691,265.2322314
C06125,170.5316209
C06388,152.4680273
C06453,138.5442539
C06491,288.9814151
C06634,147.433911
C06663,763.3136162
C07016,132.6276867
C07419,138.4909515
C07420,153.2971758
C07483,140.8599474
C07542,132.0946627
C07582,134.3452087
C07769,146.2494131
C07785,141.4521964
C07882,221.4591099
C08278,186.4690407
C08353,230.348767
C08463,157.687325
C08828,165.2013801
C08834,134.9966826
C08974,167.570376
C09116,137.3656785
C09212,205.3440154
C09273,192.9778569
C09286,248.0570112
C09365,398.2506181
C09910,134.9966826
C10107,305.6631833
C10157,171.064645
C10319,159.8711394
C10581,165.1421552
C11045,168.1567025
C11650,167.570376
C11660,163.7622151
C11692,166.9781271
C11957,137.9579275
C12002,136.6253673
C12062,203.6975633
C12205,152.7641517
C12247,206.6588081
C12369,164.0168822
C12487,172.0714682
C12602,159.1604406
C12809,192.4448328
C12852,146.6106849
C13273,200.1440694
C13371,129.6605194
C13497,217.8523137
C13681,186.0485439
C13719,301.3001937
C13874,132.752059
C13921,168.6956491
C14390,229.5196184
C14402,134.9966826
C14547,229.164269
C14556,325.0493775
C14629,169.8090771
C14648,187.7068411
C14678,249.7153083
C14711,145.0056902
C14806,312.079125
C14944,489.7538164
C15251,154.8370231
C15297,171.064645
C15322,211.9890489
C15376,134.9966826
C15389,141.4521964
C15486,183.3834236
C15498,213.659191
C15615,1260.861977
C15758,142.5300895
C16026,129.607217
C16120,408.0175359
C16215,147.4279885
C16229,150.335931
C16256,229.756518
C16321,251.6697299
C16513,134.4044336
C16934,171.1179474
C17186,159.2788904
C17217,132.6276867
C17415,134.7005581
C17425,147.4279885
C17529,134.4044336
C17566,827.33573
C17905,206.6588081
C17921,141.4818088
C18103,146.2494131
C18200,132.5684618
C18423,152.7641517
C18548,174.0851147
C18652,178.8231065
C18746,141.4521964
C19144,170.5316209
C19151,348.2063123
C19274,239.0548269
C19337,229.164269
C19445,146.2494131
C20029,164.401844
C20192,400.0636322
C20427,147.433911
C20481,230.2303172
C20593,180.0076044
C20597,191.20111
C20599,148.1742222
C20614,135.5830091
C20712,152.7641517
C21417,132.6276867
C21445,221.4650324
C21504,242.1878239
C21747,232.4808633
C22013,158.6866415
C22116,188.32278
C22340,152.1719028
C22622,152.1079622
C22715,159.2196655
C22808,141.4521964
C22879,165.1421552
C23216,176.6571583
C23394,166.0305287
C23410,135.4704818
C23422,822.0054892
C23471,467.242433
C23583,199.5518205
C24001,160.7733327
C24205,319.3341749
C24244,206.5995832
C24298,129.6664419
C24397,457.168278
C24417,170.5316209
C24530,283.6511744
C24577,407.9050086
C24798,141.5114213
C24812,365.3815324
C25041,145.0589926
C25569,346.3703404
C25659,192.3856079
C25692,157.496221
C25756,299.3457721
C25829,188.8854165
C25836,133.2199357
C26192,153.3504782
C26525,200.6770935
C26532,243.857966
C26989,223.8340283
C27009,169.9393719
C27012,135.5889316
C27043,156.7914448
C27241,198.7345169
C27265,227.5178169
C27729,999.6801806
C28597,627.1496552
C28786,132.6217642
C28804,144.4726662
C28977,152.7641517
C28992,146.841662
C29163,407.4312094
C29178,144.4726662
C29205,129.607217
C29238,151.5093518
C29328,1237.166096
C29839,615.2513734
C29947,159.2196655
C30051,383.6820256
C30250,248.0570112
C30268,141.4521964
C30441,170.5316209
C30576,467.242433
C30740,200.1440694
C30834,145.0649151
C31008,152.1719028
C31019,230.336922
C31240,188.891339
C31323,203.1053143
C31545,159.2196655
C31942,164.6091312
C31947,200.1440694
C32041,383.0897767
C32685,132.2545699
C32741,141.4521964
C32828,342.8168466
C32856,158.9768435
